DateTime,timestamp,Open,High,Low,Close,Volume,data_get_time
2021-07-05,1625443200000,35225.48,35239.23,33187.09,33704.41,13.578128,2024-03-27 04:49:38
2021-07-06,1625529600000,33704.41,35098.33,33578.49,34224.45,3.802583,2024-03-27 04:49:38
2021-07-07,1625616000000,34224.45,35008.17,33800.68,33865.3,4.92434,2024-03-27 04:49:38
2021-07-08,1625702400000,33865.3,33921.53,32235.82,32892.17,18.33107,2024-03-27 04:49:38
2021-07-09,1625788800000,32892.17,34077.01,32307.11,33815.88,9.554352,2024-03-27 04:49:38
2021-07-10,1625875200000,33815.88,34233.49,33055.38,33509.32,4.168134,2024-03-27 04:49:38
2021-07-11,1625961600000,33509.32,34586.63,33326.11,34246.51,13.776442,2024-03-27 04:49:38
2021-07-12,1626048000000,34246.51,34650.0,32665.68,33109.63,13.101666,2024-03-27 04:49:38
2021-07-13,1626134400000,33109.63,33324.49,32206.81,32715.61,12.811375,2024-03-27 04:49:38
2021-07-14,1626220800000,32715.61,33074.3,31605.25,32823.9,11.78523,2024-03-27 04:49:38
2021-07-15,1626307200000,32823.9,33167.42,31150.0,31861.82,49.931742,2024-03-27 04:49:38
2021-07-16,1626393600000,31861.82,32235.05,31042.08,31390.98,49.591002,2024-03-27 04:49:38
2021-07-17,1626480000000,31390.98,31970.57,31170.0,31512.99,16.499096,2024-03-27 04:49:38
2021-07-18,1626566400000,31512.99,32416.17,31150.0,31778.75,51.190212,2024-03-27 04:49:38
2021-07-19,1626652800000,31778.75,31891.94,30469.5,30819.86,45.645321,2024-03-27 04:49:38
2021-07-20,1626739200000,30819.86,31050.0,29314.77,29782.8,115.334421,2024-03-27 04:49:38
2021-07-21,1626825600000,29782.8,32817.63,29513.9,32137.21,103.9724,2024-03-27 04:49:38
2021-07-22,1626912000000,32137.21,32496.63,31728.28,32310.43,49.528767,2024-03-27 04:49:38
2021-07-23,1626998400000,32310.43,33631.55,32013.22,33631.55,67.196901,2024-03-27 04:49:38
2021-07-24,1627084800000,33631.55,34467.08,33409.59,34270.0,62.298059,2024-03-27 04:49:38
2021-07-25,1627171200000,34270.0,35386.12,33864.49,35348.21,87.532324,2024-03-27 04:49:38
2021-07-26,1627257600000,35348.21,40564.19,35242.89,37252.28,284.339773,2024-03-27 04:49:38
2021-07-27,1627344000000,37252.28,39500.0,36410.5,39500.0,152.052798,2024-03-27 04:49:38
2021-07-28,1627430400000,39500.0,40889.15,38800.01,39987.87,181.90394,2024-03-27 04:49:38
2021-07-29,1627516800000,39987.87,40612.3,39292.52,40015.2,97.664092,2024-03-27 04:49:38
2021-07-30,1627603200000,40015.2,42290.0,38328.58,42195.18,193.017448,2024-03-27 04:49:38
2021-07-31,1627689600000,42195.18,42359.76,41040.89,41447.67,97.528106,2024-03-27 04:49:38
2021-08-01,1627776000000,41447.67,42566.0,39462.33,39851.08,140.451913,2024-03-27 04:49:38
2021-08-02,1627862400000,39851.08,40452.47,38691.0,39144.91,143.550949,2024-03-27 04:49:38
2021-08-03,1627948800000,39144.91,39771.94,37661.2,38210.87,120.750935,2024-03-27 04:49:38
2021-08-04,1628035200000,38210.87,39955.86,37551.94,39738.46,126.630748,2024-03-27 04:49:38
2021-08-05,1628121600000,39738.46,41353.0,37348.85,40864.26,215.362454,2024-03-27 04:49:38
2021-08-06,1628208000000,40864.26,43367.66,39900.01,42831.88,158.525493,2024-03-27 04:49:38
2021-08-07,1628294400000,42831.88,44705.58,42500.0,44578.65,237.590431,2024-03-27 04:49:38
2021-08-08,1628380800000,44578.65,45281.85,43296.16,43807.74,191.475897,2024-03-27 04:49:38
2021-08-09,1628467200000,43807.74,46466.92,42820.94,46285.33,240.183492,2024-03-27 04:49:38
2021-08-10,1628553600000,46285.33,46750.0,44650.0,45585.67,176.307778,2024-03-27 04:49:38
2021-08-11,1628640000000,45585.67,46595.92,45349.31,45543.0,136.428802,2024-03-27 04:49:38
2021-08-12,1628726400000,45543.0,46207.82,43790.8,44412.0,170.489342,2024-03-27 04:49:38
2021-08-13,1628812800000,44412.0,47865.28,44243.99,47807.6,158.11131,2024-03-27 04:49:38
2021-08-14,1628899200000,47807.6,48107.0,46029.73,47037.53,192.779991,2024-03-27 04:49:38
2021-08-15,1628985600000,47037.53,47336.25,45507.0,46979.44,139.139401,2024-03-27 04:49:38
2021-08-16,1629072000000,46979.44,48016.54,45657.69,45913.29,207.229123,2024-03-27 04:49:38
2021-08-17,1629158400000,45913.29,47138.09,44412.0,44676.76,211.227177,2024-03-27 04:49:38
2021-08-18,1629244800000,44676.76,45930.0,44218.24,44635.35,227.924747,2024-03-27 04:49:38
2021-08-19,1629331200000,44635.35,47001.35,43950.0,46753.83,230.822202,2024-03-27 04:49:38
2021-08-20,1629417600000,46753.83,49338.0,46629.54,49301.43,260.425931,2024-03-27 04:49:38
2021-08-21,1629504000000,49301.43,49731.15,48171.57,48772.59,132.869856,2024-03-27 04:49:38
2021-08-22,1629590400000,48772.59,49506.7,48074.56,49223.35,132.608239,2024-03-27 04:49:38
2021-08-23,1629676800000,49223.35,50424.0,49022.0,49519.22,229.063926,2024-03-27 04:49:38
2021-08-24,1629763200000,49519.22,49790.14,47525.41,47671.53,215.420646,2024-03-27 04:49:38
2021-08-25,1629849600000,47671.53,49245.14,47120.0,48996.42,205.688869,2024-03-27 04:49:38
2021-08-26,1629936000000,48996.42,49344.29,46323.43,46822.44,176.035044,2024-03-27 04:49:38
2021-08-27,1630022400000,46822.44,49089.0,46338.71,49037.99,179.847809,2024-03-27 04:49:38
2021-08-28,1630108800000,49037.99,49257.4,48352.9,48884.84,147.818635,2024-03-27 04:49:38
2021-08-29,1630195200000,48884.84,49614.36,47800.0,48756.58,125.332522,2024-03-27 04:49:38
2021-08-30,1630281600000,48756.58,48873.18,46864.01,46986.26,177.492634,2024-03-27 04:49:38
2021-08-31,1630368000000,46986.26,48200.0,46700.0,47103.33,274.37544,2024-03-27 04:49:38
2021-09-01,1630454400000,47103.33,49059.99,46500.0,48783.19,179.998962,2024-03-27 04:49:38
2021-09-02,1630540800000,48783.19,50326.95,48558.75,49231.18,292.562294,2024-03-27 04:49:38
2021-09-03,1630627200000,49231.18,50987.0,48358.37,49973.87,313.834521,2024-03-27 04:49:38
2021-09-04,1630713600000,49973.87,50550.0,49400.0,49919.82,186.580609,2024-03-27 04:49:38
2021-09-05,1630800000000,49919.82,51836.71,49485.03,51726.73,231.26447,2024-03-27 04:49:38
2021-09-06,1630886400000,51726.73,52662.73,50963.72,52586.77,257.346181,2024-03-27 04:49:38
2021-09-07,1630972800000,52586.77,52818.37,43000.0,46729.2,645.126118,2024-03-27 04:49:38
2021-09-08,1631059200000,46729.2,47299.87,44436.94,46014.25,407.756328,2024-03-27 04:49:38
